"date","time","country","age","n_group","n_manta","dive_level","is_first_time","pc","pick_n_divers","n_diver_A","n_diver_B","n_diver_C","n_diver_D","n_diver_E","n_diver_F","pick_n_boats","n_boats_A","n_boats_B","n_boats_C","n_boats_D","n_boats_E","n_boats_F","dc","diver_norms","boat_norms","date_time","obs_boat","boat_RE","diver_RE","fewer_boat_UL","more_boat_UL","fewer_boat_RE","more_boat_RE","fewer_diver_RE","more_diver_RE"
"09/21/2024","09:30","United States",30,4,3,"Advanced Open Water Diver","Y",7,5,4,4,3,-2,-2,-4,6,4,3,1,-3,-3,-3,"BFD",7.8,30,"2024-09-21 09:30:00",53,55,10,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/21/2024","09:30","United States",31,4,3,"Advanced Open Water Diver","Y",6,2,1,1,-4,0,-1,-4,5,4,4,2,-1,-3,-4,"BFD",8,31.6666666666667,"2024-09-21 09:30:00",53,45,4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"09/21/2024","09:30","Denmark",24,4,3,"Advanced Open Water Diver","Y",6,5,4,3,0,-1,-2,-4,4,3,3,-3,-4,-4,-4,"BFD",6,17.5,"2024-09-21 09:30:00",53,35,10,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/21/2024","09:30","Denmark",21,4,3,"Advanced Open Water Diver","Y",6,5,4,2,1,0,-2,-4,4,4,3,1,0,-2,-4,"BFD",8,35,"2024-09-21 09:30:00",53,35,10,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"09/21/2024","10:00","Germany",25,2,10,"Open Water Diver","Y",4,2,4,3,1,0,0,-2,3,4,4,2,1,0,0,"WD",9,50,"2024-09-21 10:00:00",43,25,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"09/21/2024","10:00","Canada",26,4,9,"Advanced Open Water Diver","Y",6,5,NA,NA,NA,NA,-2,NA,3,NA,NA,-1,NA,NA,NA,"DC",NA,NA,"2024-09-21 10:00:00",43,25,10,NA,NA,NA,NA,NA,NA
"09/21/2024","10:00","Indonesia",25,2,NA,"Advanced Open Water Diver","N",2,2,4,4,1,-1,-2,-4,2,4,4,0,-3,-4,-4,"DC",7,25,"2024-09-21 10:00:00",43,15,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"09/21/2024","11:30","Indonesia",29,2,6,"Open Water Diver","Y",8,5,3,3,1,-1,-1,-4,3,4,1,-3,-3,-3,-3,"BC",7.5,21.25,"2024-09-21 11:30:00",NA,25,10,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/21/2024","11:30","Turkey",25,2,6,"Try Scuba / DSD","Y",6,3,4,3,-1,-2,-3,-4,3,3,-1,-2,-3,-4,-4,"BC",5.5,12.5,"2024-09-21 11:30:00",NA,25,6,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/22/2024","9:00","Germany",29,4,7,"Open Water Diver","Y",3,3,4,3,-1,-2,-3,-4,3,4,2,0,-1,-3,-4,"Purple",5.5,25,"2024-09-22 09:00:00",54,25,6,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"09/24/2024","9:00","United States",32,4,1,"Open Water Diver","Y",9,4,4,3,1,-3,-4,-4,4,4,1,-1,-4,-4,-4,"SCA",6.5,20,"2024-09-24 09:00:00",NA,35,8,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/24/2024","9:00","Germany",31,5,1,"Open Water Diver","Y",6,3,4,4,1,0,-3,-4,3,4,3,1,-2,-4,-4,"SCA",8,28.3333333333333,"2024-09-24 09:00:00",NA,25,6,NA,NA,TRUE,FALSE,TRUE,FALSE
"09/24/2024","9:00","United States",32,4,1,"Open Water Diver","Y",9,5,4,4,-1,-2,-4,-4,4,4,1,-3,-4,-4,-4,"SCA",5.4,17.5,"2024-09-24 09:00:00",NA,35,10,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/24/2024","9:00","Germany",32,12,3,"Try Scuba / DSD","N",7,5,4,4,4,-2,-2,-4,4,4,4,4,1,-3,-4,"SCA",7.33333333333333,37.5,"2024-09-24 09:00:00",NA,35,10,NA,NA,TRUE,FALSE,FALSE,TRUE
"09/24/2024","9:00","Malaysia",42,15,1,"Advanced Open Water Diver","Y",7,5,-2,-2,-3,-4,-4,-4,3,4,1,-3,-4,-4,-4,"DC",0,17.5,"2024-09-24 09:00:00",NA,25,10,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/24/2024","9:45","Germany",27,4,8,"Open Water Diver","Y",2,1,4,1,-1,-4,-4,-4,1,4,2,0,-2,-4,-4,"BC",5,25,"2024-09-24 09:45:00",NA,5,2,NA,NA,TRUE,FALSE,TRUE,FALSE
"09/24/2024","12:47","Germany",31,6,12,"Open Water Diver","Y",5,2,3,2,0,-3,-3,-4,2,3,1,0,-2,-3,-4,"BC",6,25,"2024-09-24 12:47:00",NA,15,4,NA,NA,TRUE,FALSE,TRUE,FALSE
